solution,sse,rmse,E,A,alpha,B,beta,kappa,rho,delta,dist_to_best
53,0.487398341047601,0.01781338340367148,1.678683421898899,0.3699441902640802,0.32877388560165677,1.2355285935948712,0.2811095244672923,0.3753183751545194,0.549953326360653,0.058769133107576164,4.582774246588e-06
54,0.48739834105034135,0.017813383403721558,1.6786831882951878,0.36994376722863614,0.3287741362266763,1.2355294174356173,0.28110925827645505,0.3753095730561223,0.5499579907259903,0.058769295042891675,5.433775800147962e-06
55,0.4873983410531867,0.017813383403773555,1.67868312321081,0.36994379453312637,0.3287741168616172,1.2355294698941532,0.2811092407003343,0.3753091689844078,0.5499580914079845,0.05876931976635173,5.842753328247598e-06
56,0.48739834105855817,0.017813383403871712,1.6786830419918557,0.3699438657246272,0.3287740627685121,1.2355294974336661,0.28110923304997576,0.3753086130910525,0.5499585184625655,0.058769312772251794,6.534181471442584e-06
57,0.487398341073033,0.017813383404136223,1.6786827832798934,0.3699440156265406,0.32877395514186697,1.2355296616903668,0.28110917931964846,0.37530713376183317,0.549959032168502,0.05876938344557864,8.10722426599318e-06
58,0.4873983410775259,0.017813383404218328,1.6786828969574121,0.3699437879809561,0.32877411937952794,1.235529769336243,0.2811091404751076,0.3753069141952811,0.5499586297196631,0.05876945829350006,8.143646614580354e-06
59,0.48739834108970337,0.017813383404440858,1.67868361595693,0.36994423031190093,0.32877387546357045,1.2355282820846338,0.2811096244020615,0.375321848743031,0.5499514415487831,0.058769073161179367,8.549153894755902e-06
60,0.4873983410920177,0.01781338340448315,1.67868365493481,0.3699442382577573,0.3287738678687484,1.2355282250382542,0.28110964419110934,0.3753220983232051,0.5499515490007804,0.058769033786731,8.728396565412544e-06
61,0.48739834109989755,0.017813383404627146,1.6786836210033336,0.3699442784647513,0.3287738442312349,1.2355282185530923,0.28110964529555893,0.37532244435104145,0.5499511780209501,0.05876905503446266,9.204066274762268e-06
62,0.48739834110275554,0.017813383404679372,1.6786829557966945,0.36994373487525456,0.32877413852766446,1.2355297719640255,0.2811091446455125,0.37530559530593305,0.5499601422049119,0.058769365211924704,9.976264350561366e-06
63,0.4873983411093445,0.01781338340479978,1.6786829520185815,0.36994371000060383,0.3287741541117545,1.2355298068021427,0.2811091333180326,0.3753052479271116,0.5499603256842456,0.05876937147097766,1.0371282347221107e-05
