functional,omega,scale_s,scenario,delta,h,loss_h1,loss_with_h,dLoss,N,D,Q
quality_linear,0.5,0.0042798423176393504,shift_dm_mathematics_up__pubmed_abstracts_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_dm_mathematics_up__uspto_backgrounds_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__arxiv_down,2.262605482454919,0.3226127016777514,2.3489103009426024,2.462569194702915,0.11365889376031246,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__freelaw_down,1.0968926332503828,0.5778469044285676,2.3489103009426024,2.399533479360492,0.05062317841788966,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__pubmed_central_down,1.0968926332503828,0.5778469044285676,2.3489103009426024,2.399533479360492,0.05062317841788966,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__wikipedia_en_down,0.859954818546996,0.6505237903623545,2.3489103009426024,2.3879311535205514,0.03902085257794896,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__stackexchange_down,2.65332461373201,0.26536148004351306,2.3489103009426024,2.4861049604446466,0.13719465950204413,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__pile_cc_down,0.8036305590945956,0.6691043315306044,2.3489103009426024,2.385229212071241,0.03631891112863839,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__pubmed_abstracts_down,1.0968926332503828,0.5778469044285676,2.3489103009426024,2.399533479360492,0.05062317841788966,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_github_up__uspto_backgrounds_down,1.0968926332503828,0.5778469044285676,2.3489103009426024,2.399533479360492,0.05062317841788966,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_philpapers_up__arxiv_down,1.1723991506222478,0.5564379720467882,2.3489103009426024,2.4033124334068576,0.05440213246425518,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_philpapers_up__freelaw_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_philpapers_up__pubmed_central_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_philpapers_up__wikipedia_en_down,-0.3665275332404914,1.2011311846144939,2.3489103009426024,2.333654194418169,-0.015256106524433655,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_philpapers_up__github_down,-1.3100321785747664,1.9251734917967558,2.3489103009426024,2.2977999554694684,-0.05111034547313409,1.0,150.0,1.0
quality_linear,1.0,0.0042798423176393504,reference_p0,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,1.0,0.0042798423176393504,shift_arxiv_up__freelaw_down,-0.9816522163185311,2.6688621387573885,2.3489103009426024,2.275607537702368,-0.07330276324023455,1.0,150.0,1.0
quality_linear,1.0,0.0042798423176393504,shift_arxiv_up__pubmed_central_down,-0.9816522163185311,2.6688621387573885,2.3489103009426024,2.275607537702368,-0.07330276324023455,1.0,150.0,1.0
quality_linear,1.0,0.0042798423176393504,shift_arxiv_up__wikipedia_en_down,-1.402650663907897,4.0659631975878385,2.3489103009426024,2.249839368527263,-0.09907093241533937,1.0,150.0,1.0
quality_linear,1.0,0.0042798423176393504,shift_arxiv_up__github_down,-2.262605482454893,9.608090293306914,2.3489103009426024,2.205760990194575,-0.1431493107480275,1.0,150.0,1.0
quality_linear,1.0,0.0042798423176393504,shift_arxiv_up__stackexchange_down,0.39071913127711705,0.676570156751279,2.3489103009426024,2.384170456208879,0.03526015526627635,1.0,150.0,1.0
