logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
19.6,3.98107e+19,指数型,8192,4.21019e+08,1.01266e+10,0.752948,2.87019,0.0415754,24.0527,False,0.642566,0.175463,0.181971
19.7,5.01187e+19,指数型,8192,4.72172e+08,1.13586e+10,0.768625,2.82559,0.0415695,24.0561,False,0.642064,0.175326,0.18261
19.8,6.30957e+19,指数型,8192,5.292e+08,1.27537e+10,0.784302,2.78266,0.041494,24.0999,False,0.641809,0.175257,0.182934
19.9,7.94328e+19,指数型,8192,5.92516e+08,1.43428e+10,0.799732,2.74135,0.0413111,24.2066,False,0.641926,0.175289,0.182785
20,1e+20,指数型,8192,6.63356e+08,1.61318e+10,0.815409,2.70161,0.0411209,24.3185,False,0.642069,0.175328,0.182603
20.1,1.25893e+20,指数型,8192,7.42317e+08,1.81571e+10,0.831085,2.66338,0.040883,24.4601,False,0.642374,0.175411,0.182216
20.2,1.58489e+20,指数型,8192,8.29986e+08,2.04629e+10,0.846515,2.6266,0.0405604,24.6546,False,0.642969,0.175573,0.181458
20.3,1.99526e+20,指数型,8192,9.27184e+08,2.30931e+10,0.861627,2.59123,0.0401498,24.9067,False,0.643872,0.17582,0.180308
20.4,2.51189e+20,指数型,8192,1.03544e+09,2.60735e+10,0.876739,2.55721,0.0397122,25.1812,False,0.644872,0.176093,0.179034
20.5,3.16228e+20,指数型,8192,1.15657e+09,2.94277e+10,0.892169,2.52449,0.0393021,25.4439,False,0.645772,0.176339,0.177889
20.6,3.98107e+20,指数型,8192,1.29145e+09,3.32294e+10,0.907563,2.49303,0.0388645,25.7304,False,0.64677,0.176611,0.176619
20.7,5.01187e+20,指数型,8192,1.44044e+09,3.75865e+10,0.922392,2.46278,0.0383233,26.0938,False,0.648154,0.176989,0.174857
20.8,6.30957e+20,指数型,8192,1.60774e+09,4.24664e+10,0.937822,2.43368,0.0378592,26.4136,False,0.649251,0.177289,0.17346
20.9,7.94328e+20,指数型,8192,1.79325e+09,4.80292e+10,0.952934,2.40571,0.0373367,26.7833,False,0.650574,0.17765,0.171775
21,1e+21,指数型,8192,2.00072e+09,5.42939e+10,0.968364,2.3788,0.0368499,27.1371,False,0.651763,0.177975,0.170263
21.1,1.25893e+21,指数型,8192,2.23077e+09,6.14344e+10,0.983476,2.35293,0.0363115,27.5395,False,0.653158,0.178356,0.168486
21.2,1.58489e+21,指数型,8192,2.48789e+09,6.94833e+10,0.99887,2.32805,0.0358056,27.9286,False,0.65443,0.178703,0.166867
21.3,1.99526e+21,指数型,8192,2.71985e+09,8.10795e+10,1,2.30417,0.0335454,29.8103,False,0.663142,0.181082,0.155775
21.4,2.51189e+21,指数型,8192,2.97162e+09,9.46744e+10,1,2.28131,0.0313878,31.8595,False,0.672012,0.183504,0.144484
21.5,3.16228e+21,指数型,8192,3.24986e+09,1.10348e+11,1,2.25942,0.0294509,33.9548,False,0.680429,0.185802,0.133769
21.6,3.98107e+21,指数型,8192,3.55751e+09,1.28392e+11,1,2.23844,0.0277082,36.0904,False,0.688392,0.187977,0.123631
21.7,5.01187e+21,指数型,8192,3.89783e+09,1.49133e+11,1,2.21833,0.0261365,38.2606,False,0.695904,0.190028,0.114068
21.8,6.30957e+21,指数型,8192,4.27444e+09,1.72944e+11,1,2.19903,0.0247157,40.4601,False,0.702969,0.191957,0.105074
21.9,7.94328e+21,指数型,8192,4.69135e+09,2.00245e+11,1,2.18052,0.0234281,42.6839,False,0.709595,0.193767,0.0966383
