C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+19,131072,logarithmic,fixed_ref,0.0,0.0,0.173559697018083,0.7582938869184725,0.0681464160634446,0.0,1.0000000000000002,4.369066666666667,0.0,True,True,True,True,True
1e+19,131072,logarithmic,mixture,0.0,0.0,0.17545667797076558,0.7665819231661395,0.057961398863095,0.0,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,2048,exponential,fixed_ref,0.0,0.0,0.9164047810397458,0.06255989971897999,0.021035319241274265,0.0,1.0,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
1e+22,2048,exponential,mixture,0.0,0.0,0.9167117080481249,0.062580852602752,0.020707439349123107,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,4096,exponential,fixed_ref,0.0,0.0,0.8619482175622488,0.11768466330449906,0.020367119133252228,-2.097152e-16,0.9999999999999998,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+22,4096,exponential,mixture,0.0,0.0,0.8622362221414896,0.11772398552971806,0.02003979232879222,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,8192,exponential,fixed_ref,0.0,0.0,0.7704368620669803,0.21038062580175673,0.019182512131263145,-2.097152e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,8192,exponential,mixture,0.0,0.0,0.7706721655610348,0.21044487934253325,0.018882955096431838,0.0,0.9999999999999998,0.2730666666666667,0.0,True,True,True,True,True
1e+22,32768,exponential,fixed_ref,0.0,0.0,0.4709018572239562,0.5143504019171533,0.014747740858890615,-2.097152e-16,0.9999999999999998,1.0922666666666667,0.0,True,True,True,True,True
1e+22,32768,exponential,mixture,0.0,0.0,0.4710124205457083,0.514471166548059,0.014516412906232592,2.097152e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+22,131072,exponential,fixed_ref,0.0,0.0,0.18459271176647601,0.8064978638885182,0.008909424345006025,-2.097152e-16,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+22,131072,exponential,mixture,0.0,0.0,0.18461889233095297,0.806612248520089,0.008768859148958074,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+22,2048,power,fixed_ref,0.0,0.0,0.9119510509116847,0.06225585840890434,0.025793090679411004,-2.097152e-16,0.9999999999999998,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+22,2048,power,mixture,0.0,0.0,0.9125642224009718,0.06229771758257301,0.025138060016455265,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,4096,power,fixed_ref,0.0,0.0,0.8578915887072682,0.11713079824483236,0.02497761304789916,4.194304e-16,1.0000000000000002,0.13653333333333334,0.0,True,True,True,True,True
1e+22,4096,power,mixture,0.0,0.0,0.8584501632659207,0.11720706229124038,0.024342774442838964,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,8192,power,fixed_ref,0.0,0.0,0.767007573617876,0.20944420143592132,0.023548224946202904,-2.097152e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,8192,power,mixture,0.0,0.0,0.7674783768703272,0.20957276211072398,0.02294886101894907,-2.097152e-16,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
