candidate,source,in_trust_box,in_trust_l1,trust_status,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds,select_rank,select_rank_low,Q,delta,aliases,delta_ref,delta_mixture_l1,is_p0
dirichlet_a200_15,dirichlet_around_p0,True,True,in,0.1414277022168964,0.10686618957540987,0.00145125267603545,0.1279714464781745,0.05920823040526348,0.026554000715065865,0.1218426700463363,0.0006575162437623989,0.11291838498677934,0.0002020315107743396,0.06056328498026187,0.10916473632462827,0.022392632431228066,0.015724445640386532,0.008157913806480595,0.04203231923066787,0.042865242731848746,,,0.41887157435965594,-0.5231578853096595,dirichlet_a200_15,-0.5231578853096595,1.9562252627594428,False
dirichlet_a200_16,dirichlet_around_p0,True,True,in,0.07308544659408217,0.09810663097888211,0.026586976106899363,0.08113801442811137,0.07279167919168164,0.022612166189315927,0.1213304921682344,0.0007464284458333146,0.10504323102667579,0.004730325461525998,0.07416473818325969,0.11995766450105352,0.028282925199191827,0.018447680335191546,0.011405860206128793,0.05257469485492334,0.08899504612900938,,,0.4095845343640433,1.6467912170991261,dirichlet_a200_16,1.6467912170991261,1.9256544598391994,False
dirichlet_a200_17,dirichlet_around_p0,True,True,in,0.09492225723252047,0.11970281123533852,0.0014174073888835298,0.11609060243821609,0.14319160576845005,0.019048864321887484,0.08971495683424607,0.02241439541570248,0.08287477989788897,0.00011161957411465118,0.05230604810272482,0.08710391910201086,0.021127867660016616,0.005819600013797955,0.00615948914360205,0.04395322100131989,0.09404055486927936,,,0.41349783035762394,0.7324360368972729,dirichlet_a200_17,0.7324360368972729,2.7129942646242053,False
dirichlet_a200_18,dirichlet_around_p0,True,True,in,0.13684067320886456,0.08618245328282337,0.0013899880059604212,0.12074466698422885,0.06830759570103928,0.016485979787181648,0.12436900333704069,0.013561018943080339,0.10987292588932172,0.0014649451678941413,0.06047050388207618,0.10674672134933842,0.011039800098466576,0.005241555265363822,0.013021759357005596,0.058472821499477905,0.06578758824083647,,,0.41772391901111844,-0.25500423305769543,dirichlet_a200_18,-0.25500423305769543,1.558345744537304,False
dirichlet_a200_19,dirichlet_around_p0,True,True,in,0.1091850297790158,0.0886706954815767,0.003348292420987589,0.09213877574858828,0.059724244480857704,0.039944077967625356,0.11722950005549448,0.009137315012002526,0.09238765929432144,0.0003573376365383631,0.07158051404162556,0.13409491152841063,0.015812297537335703,0.016320420672597882,0.002162347502717526,0.09027344523593651,0.05763313560436779,,,0.41205512818481205,1.069528402862674,dirichlet_a200_19,1.069528402862674,1.8321640017783265,False
dirichlet_a50_0,dirichlet_around_p0|lowQ,True,True,in,0.08724241631373292,0.10307868453174224,0.0008791610939579559,0.18319318967317844,0.10318069980519834,0.10006547421739466,0.07026102578646377,3.715964492246172e-05,0.022514420553895076,2.2949196706147332e-08,0.059454954088504916,0.10107501289019456,0.01715713152604788,0.003194817922266509,0.043188910307618594,0.06735055061762221,0.03812636807806271,,3.0,0.40462166657937887,2.806382486200324,dirichlet_a50_0,2.806382486200324,4.472917942470916,False
dirichlet_a50_1,dirichlet_around_p0,True,True,in,0.07183368368750648,0.1473354073038777,0.0026814020847723908,0.11105426655093313,0.08954907028516546,0.03742363769382856,0.12564194078478166,0.002962576564744101,0.05487803891614284,2.4436211271261005e-09,0.019474812440378714,0.10976437574834443,0.00317828049209613,0.003963761593342579,0.07762804592611545,0.06012799411323176,0.08250270337111752,,,0.40722913977084857,2.1971373323022445,dirichlet_a50_1,2.1971373323022445,3.295982549880364,False
dirichlet_a50_2,dirichlet_around_p0,True,True,in,0.09138467204094013,0.16416977311680742,0.0025582328568027665,0.07406354505905823,0.056263936994971335,0.037606953444858524,0.06594737866286904,3.5812037205999255e-06,0.09980996408692386,2.8626733314927955e-07,0.06961703946272103,0.15645024257856469,0.020658098827381084,0.0002641742158124929,0.0015133432047297818,0.08113638595831281,0.07855239201819304,,,0.4159816682584526,0.15207869742437882,dirichlet_a50_2,0.15207869742437882,3.170645605424396,False
dirichlet_a50_3,dirichlet_around_p0|topQ,True,True,in,0.20710326305804788,0.20876899318286618,9.828233278692559e-08,0.06357736038775079,0.0846267579258742,0.04832148956853838,0.04913901078814618,0.006344723433349429,0.08406175201277899,9.33580954715254e-12,0.04419263132899601,0.04789586840149506,0.009243283048644035,0.01676905914487853,0.02175470395326775,0.07660569634219899,0.031595309131498994,2.0,,0.4334555431879409,-3.930752779209648,dirichlet_a50_3,-3.930752779209648,5.276999357030186,False
dirichlet_a50_4,dirichlet_around_p0,True,True,in,0.09321076839306666,0.041704434989060346,0.030448313167475937,0.20224465142524206,0.12837816102676491,0.008628761219595774,0.11305608954680081,0.0003926934486211889,0.10885512255527921,3.5656027136838185e-05,0.016231069741007218,0.09953235304116809,0.02278537722759018,0.001120727609308141,0.01001907042252917,0.02146087628616399,0.1018958738731894,,,0.41838516861665787,-0.40950749660413255,dirichlet_a50_4,-0.40950749660413255,4.152882531656915,False
