C,log10_C,cost_form,ell,kappa,Q0,N_B,D_B,Q,h,L_pred,share_train,share_attn,share_quality,share_unused,regime,flag_q_at_lower,flag_q_at_upper,flag_n_at_lower,flag_n_at_upper,budget_residual_rel,N_in_support,D_in_support,functional,omega,candidate,q0_mode,d_share_train_dlogC,d_share_attn_dlogC,d_share_quality_dlogC,d_share_unused_dlogC,dlog10Q_dlogC,dlog10N_dlogC
1.2589254117941714e+24,24.1,exponential,8192,0.8047071577351047,0.41663254110330095,41.65111832873649,3908.97313107721,1.0,1.0,1.9119318783173038,0.7759622654418273,0.211889429283315,0.012148305274857774,-2.1322586190188682e-16,upper_bound,False,True,False,False,-2.1322586190188682e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.009659849202091841,0.0026377828221177957,-0.012297632024210511,4.953206675895496e-16,0.0,0.4442666666666657
1.584893192461111e+24,24.2,exponential,8192,0.8047071577351047,0.41663254110330095,46.13175745603791,4448.3821652802435,1.0,1.0,1.9041776515016775,0.7768789269710045,0.21213973899154895,0.010981334037446725,-1.6937132248209003e-16,upper_bound,False,True,False,False,-1.6937132248209003e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.008759192116747805,0.0023918433940131045,-0.011151035510761353,1.0661293095094156e-15,0.0,0.4453333333333127
1.9952623149688828e+24,24.3,exponential,8192,0.8047071577351047,0.41663254110330095,51.13206511796566,5057.960008988454,1.0,1.0,1.8966978280277444,0.7777141038651768,0.21236779796211763,0.009918098172705515,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.007951112656359172,0.00217118382936321,-0.010122296485722992,1.9155174110544464e-15,0.0,0.44693333333334095
2.511886431509572e+24,24.4,exponential,8192,0.8047071577351047,0.41663254110330095,56.67436550015326,5750.471948316376,1.0,1.0,1.8894822276672822,0.7784691495022763,0.2125739757574216,0.00895687474030213,2.137321597287963e-16,upper_bound,False,True,False,False,2.137321597287963e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.007187564866789842,0.0019626843796245463,-0.009150249246413444,-8.488674457058088e-16,0.0,0.44693333333334984
3.1622776601683796e+24,24.5,exponential,8192,0.8047071577351047,0.41663254110330095,62.81740620948203,6537.1842521801345,1.0,1.0,1.8825211043648282,0.7791516168385347,0.21276033483804255,0.008088048323422836,-1.6977348914118238e-16,upper_bound,False,True,False,False,-1.6977348914118238e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.006496112161239687,0.0017738716941624322,-0.008269983855402216,-1.0686607986439664e-15,0.0,0.4469333333333232
3.9810717055349857e+24,24.6,exponential,8192,0.8047071577351047,0.41663254110330095,69.62630261606371,7430.893416571688,1.0,1.0,1.8758051231257418,0.7797683719345243,0.2129287500962541,0.007302877969221665,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.0058828081732000825,0.001606398818495336,-0.007489206991696799,8.488674457058848e-16,0.0,0.44799999999998796
5.011872336272715e+24,24.7,exponential,8192,0.8047071577351047,0.41663254110330095,77.21114626988827,8442.013448061372,1.0,1.0,1.8693253356973265,0.7803281784731748,0.21308161460174166,0.006590206925083479,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.005315143243167064,0.0014513884482676431,-0.00676653169143486,0.0,0.0,0.4480000000000057
6.309573444801943e+24,24.8,exponential,8192,0.8047071577351047,0.41663254110330095,85.58020714183786,9594.728412341155,1.0,1.0,1.8630731601058068,0.7808314005831577,0.2132190277859076,0.005949571630934701,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.004799255610668407,0.0013105167320863753,-0.006109772342753891,0.0,0.0,0.4480000000000164
7.943282347242789e+24,24.9,exponential,8192,0.8047071577351047,0.41663254110330095,94.90301284375987,10898.831041000993,1.0,1.0,1.857040360330613,0.7812880295953085,0.21334371794815893,0.005368252456532704,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.004348945111122493,0.0011875519450106342,-0.005536497056133131,0.0,0.0,0.4495999999999878
1e+25,25.0,exponential,8192,0.8047071577351047,0.41663254110330095,105.26726351363567,12376.452778600153,1.0,1.0,1.8512190297225755,0.7817011896053822,0.21345653817490975,0.004842272219708081,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.00392588700017793,0.0010720288768484298,-0.004997915877026901,0.0,0.0,0.44959999999998956
1.2589254117941714e+25,25.1,exponential,8192,0.8047071577351047,0.41663254110330095,116.73470764921919,14057.113689620359,1.0,1.0,1.845601571149255,0.7820732069953441,0.2135581237235286,0.004368669281127309,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.003538966867704829,0.00096637388600751,-0.004505340753712058,-6.77485289928345e-16,0.0,0.44906666666668116
1.5848931924611239e+25,25.200000000000003,exponential,8192,0.8047071577351047,0.41663254110330095,129.4513746734147,15965.256889857128,1.0,1.0,1.8401806850001048,0.7824089829789231,0.21364981295211127,0.003941204068965656,-1.3549705798567091e-16,upper_bound,False,True,False,False,-1.3549705798567091e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.0031940715525617946,0.0008721944719531916,-0.004066266024514872,4.8138225134292113e-29,0.0,0.4490666666666705
1.995262314968883e+25,25.3,exponential,8192,0.8047071577351047,0.41663254110330095,143.55335051844523,18131.653887382115,1.0,1.0,1.8349493531602707,0.7827120213058565,0.21373256261791923,0.003555416076224337,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.0028825450643550354,0.0007871269722399266,-0.003669672036594917,-1.7744334898683445e-16,0.0,0.44906666666665984
2.5118864315095717e+25,25.4,exponential,8192,0.8047071577351047,0.41663254110330095,159.1915458376653,20591.23829989311,1.0,1.0,1.8299008258862843,0.7829854919917941,0.21380723834655924,0.003207269661646689,-1.7098572778303705e-16,upper_bound,False,True,False,False,-1.7098572778303705e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.002606768424465944,0.0007118215644408288,-0.0033185899889062818,-6.790939565647686e-16,0.0,0.4501333333333353
