C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+19,8192,exponential,fixed_ref,0.0,0.0,0.6658864730995504,0.18183139958771719,0.15228212731273252,-2.048e-16,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+19,8192,exponential,mixture,0.0,0.0,0.6679165895288575,0.18238575671401333,0.14969765375712923,-2.048e-16,0.9999999999999998,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+19,32768,exponential,fixed_ref,0.0,0.0,0.40680627512545386,0.4443409341103624,0.1488527907641836,2.048e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+19,32768,exponential,mixture,0.0,0.0,0.4077299525273817,0.4453498361472415,0.1469202113253769,-2.048e-16,0.9999999999999998,1.0922666666666667,0.0,True,True,True,True,True
1e+19,131072,exponential,fixed_ref,0.0,0.0,0.1599370444300151,0.6987756095843648,0.14128734598562023,0.0,1.0000000000000002,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+19,131072,exponential,mixture,0.0,0.0,0.16014605724179978,0.6996888004932393,0.1401651422649609,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+19,2048,power,fixed_ref,0.0,0.0,0.7715496907962677,0.05267112555835854,0.17577918364537376,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,power,mixture,0.0,0.0,0.7774242838607786,0.05307216444489583,0.1695035516943254,2.048e-16,1.0,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
1e+19,4096,power,fixed_ref,0.0,0.0,0.7243324238257393,0.09889552026634094,0.1767720559079195,2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,power,mixture,0.0,0.0,0.7296135767009498,0.09961657367223634,0.17076984962681374,0.0,0.9999999999999999,0.1365333333333333,2.7755575615628914e-17,True,True,True,True,True
1e+19,8192,power,fixed_ref,0.0,0.0,0.6452921756101323,0.17620778341994012,0.17850004096992758,0.0,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
