id,S_A_equal,S_Aprep_Cweight,S_Cprep_equal,S_C_entropy,S_C_resolved,S_C_entropy_recomputed
BkiUakrxK5YsWOzBAUlJ,0.696841781956931,0.7934708645297598,0.6422078542612892,0.46522062190215846,0.424435350267626,0.46522062190215835
BkiUd6TxK6wB9lIs9ivi,0.6484711751132848,0.7874934294581406,0.5931455166346317,0.4500602066500753,0.4068559054473144,0.4500602066500753
BkiUdjg5qX_Bw5o9IG_E,0.6688108558479091,0.7990717277827579,0.6267038219256279,0.4753349656126489,0.443776188622501,0.47533496561264876
BkiUe0nxK7kjXLlzdoBA,0.6623937412820001,0.7961918422089058,0.6253951173944089,0.4688475542267706,0.4350967746018876,0.4688475542267705
BkiUd2Y4ubnhDSvJRyHO,0.6800290417482012,0.8267559609185685,0.6338499407797216,0.4677454827770481,0.43346013917150883,0.4677454827770479
BkiUe404uzliCt-nLV60,0.6478836469380107,0.7751563090769159,0.5897887896081874,0.4287746268702243,0.3818066727486949,0.4287746268702242
BkiUdmQ5qoTA_-bStSha,0.6023175020308634,0.5388571710916243,0.6078015007214863,0.46646132908993854,0.4227457178670076,0.4664613290899384
BkiUbhzxK3YB9raXyg57,0.6654436820370053,0.7980444565517866,0.6384839899117283,0.4678369135341147,0.4316907455725415,0.46783691353411466
BkiUeFrxK4sA-9F9lSY9,0.690823914567927,0.8437220283092236,0.6514649546023574,0.5005484201913256,0.47450027283468627,0.5005484201913254
BkiUbuo5qoaAwmU2sBb7,0.629128451514016,0.7691533358044765,0.5710785703489489,0.4178804330409452,0.37479924344272253,0.4178804330409451
BkiUd5E5qg5A51O-MOXL,0.6610786041062696,0.7923253453631061,0.6152344435356455,0.44676922574651784,0.4055167629354719,0.4467692257465177
BkiUbynxK4sA-9F9jLdg,0.636122760699072,0.6778268343237245,0.6255479756781331,0.4663820423992451,0.4246502665920563,0.46638204239924497
BkiUa245qsNCPV6Yix3b,0.658990188215516,0.8280729833605686,0.6235582665898562,0.47537698498048586,0.4438180009448752,0.47537698498048586
BkiUdd4241xg-QyzEflc,0.5899452890584869,0.4864423859679769,0.6248053633724052,0.5308452884119093,0.4772313472351824,0.5308452884119093
BkiUbb04dbjiU9i0yjOT,0.6553582022861549,0.8086144437494344,0.6261139667924676,0.46417114865028253,0.4250120374674989,0.46417114865028236
BkiUec7xK02iP4Y2vYfY,0.6310810608810103,0.7159786603374974,0.6535582812297998,0.5113238071433851,0.486234295325434,0.5113238071433849
BkiUbL7xK7Ehm308osVM,0.6632629851779438,0.7445889793016344,0.640057675740108,0.46833667579016697,0.4315955894779431,0.4683366757901668
BkiUdgs5qhLA5d-DF18W,0.5244683201081227,0.5984943508040497,0.5418853171528418,0.4229528427051616,0.38474067915781124,0.42295284270516154
BkiUal_xK2li-DeXxupJ,0.568148310148641,0.6737264359967622,0.5793235690729872,0.4275146861941207,0.3848990231955105,0.42751468619412053
BkiUbQHxK0iCl7UGVngH,0.6562183148349564,0.7837620821323671,0.6143650550656368,0.4445141883204625,0.4013379055342581,0.4445141883204624
